City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,24.54,77,74,2.68,ZA,1674545639
1,kavieng,-2.5744,150.7967,28.37,75,94,4.04,PG,1674545640
2,puerto quijarro,-17.7833,-57.7667,22.78,99,100,0.76,BO,1674545641
3,cherskiy,68.75,161.3,-29.15,96,100,0.36,RU,1674545641
4,vigrestad,58.5667,5.7,6.82,97,100,3.22,NO,1674545642
5,hermanus,-34.4187,19.2345,16.56,76,76,9.29,ZA,1674545642
6,rapid valley,44.0625,-103.1463,-0.82,76,0,2.68,US,1674545643
7,tuktoyaktuk,69.4541,-133.0374,-23.38,94,100,3.96,CA,1674545644
8,rikitea,-23.1203,-134.9692,26.16,73,0,7.04,PF,1674545644
9,port hardy,50.6996,-127.4199,5.1,100,100,5.14,CA,1674545410
10,majholi,23.5,79.9167,27.58,27,3,2.67,IN,1674545645
11,catuday,16.2923,119.8062,25.14,75,28,13.68,PH,1674545646
12,luba,3.4568,8.5547,25.94,78,16,1.34,GQ,1674545647
13,tatarsk,55.219,75.9828,-11.85,94,69,4.38,RU,1674545647
14,tezu,27.9167,96.1667,26.17,21,73,1.69,IN,1674545648
15,katobu,-4.9408,122.5276,29.2,66,100,2.78,ID,1674545648
16,zambezi,-13.5432,23.1047,20.18,89,100,2.38,ZM,1674545649
17,vao,-22.6667,167.4833,25.92,79,37,2.08,NC,1674545650
18,avarua,-21.2078,-159.775,24.03,94,94,1.03,CK,1674545650
19,boende,-0.2167,20.8667,31.32,48,65,1.55,CD,1674545652
20,ocos,14.5094,-92.1933,24.1,79,14,1.77,GT,1674545652
21,monopoli,40.9559,17.2896,8.18,68,0,0.51,IT,1674545653
22,sibu,2.3,111.8167,29.17,74,40,2.57,MY,1674545653
23,wilmington,34.2257,-77.9447,3.25,75,0,1.34,US,1674545410
24,jamestown,42.097,-79.2353,-1.23,64,100,9.26,US,1674545654
25,mataura,-46.1927,168.8643,13.21,67,9,2.26,NZ,1674545655
26,letterkenny,54.95,-7.7333,8.94,99,97,1.86,IE,1674545656
27,carballo,43.213,-8.691,8.81,79,10,4.48,ES,1674545656
28,coolum beach,-26.5333,153.1,27.26,76,88,2.16,AU,1674545657
29,ushuaia,-54.8,-68.3,5.81,93,0,1.03,AR,1674545658
30,skibbereen,51.55,-9.2667,8.39,96,100,1.96,IE,1674545658
31,bluff,-46.6,168.3333,13.19,66,5,5.86,NZ,1674545659
32,rapid city,44.0805,-103.231,0.4,75,0,2.68,US,1674545660
33,gizo,-8.103,156.8419,26.99,82,100,4.23,SB,1674545660
34,raga,8.4596,25.678,28.15,14,78,3.27,SS,1674545661
35,atikokan,48.7555,-91.6216,-18.96,99,100,1.16,CA,1674545662
36,kismayo,-0.3582,42.5454,28.65,65,16,8.31,SO,1674545663
37,nanortalik,60.1432,-45.2371,-1.41,97,100,2.56,GL,1674545664
38,butaritari,3.0707,172.7902,27.36,80,96,7.94,KI,1674545664
39,honningsvag,70.9821,25.9704,1.86,69,75,14.92,NO,1674545665
40,hobyo,5.3505,48.5268,26.92,62,20,10.58,SO,1674545665
41,dikson,73.5069,80.5464,-21.93,96,100,16.96,RU,1674545151
42,caravelas,-17.7125,-39.2481,24.62,88,100,3.7,BR,1674545667
43,taltal,-25.4,-70.4833,19.57,83,39,0.06,CL,1674545668
44,pevek,69.7008,170.3133,-27.32,77,84,1.02,RU,1674545669
45,upernavik,72.7868,-56.1549,-21.41,90,100,4.27,GL,1674545670
46,rrogozhine,41.0764,19.6653,9.1,78,11,1.96,AL,1674545670
47,asau,46.4333,26.4,-1.49,75,98,2.62,RO,1674545671
48,qaanaaq,77.484,-69.3632,-23.85,66,28,2.51,GL,1674545672
49,kodiak,57.79,-152.4072,2.73,81,20,0.0,US,1674545672
50,tiksi,71.6872,128.8694,-32.54,100,100,1.79,RU,1674545673
51,raudeberg,61.9875,5.1352,7.75,1,100,12.66,NO,1674545673
52,moron,-34.6534,-58.6198,25.54,61,33,2.96,AR,1674545674
53,ponta do sol,32.6667,-17.1,16.35,61,5,3.82,PT,1674545675
54,okha,53.5739,142.9478,-27.26,94,100,9.19,RU,1674545675
55,albany,42.6001,-73.9662,-0.2,85,81,3.76,US,1674545408
56,airai,-8.9266,125.4092,18.77,85,100,1.07,TL,1674545676
57,cape town,-33.9258,18.4232,18.38,86,75,4.63,ZA,1674545677
58,xining,36.6167,101.7667,-3.76,10,0,0.99,CN,1674545678
59,yellowknife,62.456,-114.3525,-14.69,85,100,5.14,CA,1674545678
60,nhulunbuy,-12.2333,136.7667,29.34,79,100,3.09,AU,1674545679
61,tucumcari,35.1717,-103.725,2.19,86,100,6.17,US,1674545589
62,keuruu,62.2667,24.7,-0.67,96,100,3.98,FI,1674545680
63,lorengau,-2.0226,147.2712,26.03,85,100,2.38,PG,1674545680
64,flinders,-34.5833,150.8552,26.21,74,96,2.68,AU,1674545681
65,waipawa,-41.4122,175.5153,12.79,80,48,2.67,NZ,1674545682
66,saldanha,-33.0117,17.9442,20.03,76,66,7.85,ZA,1674545683
67,haifa,32.8156,34.9892,20.12,48,0,5.14,IL,1674545684
68,punta arenas,-53.15,-70.9167,7.06,70,0,8.75,CL,1674545563
69,naryan-mar,67.6713,53.087,-9.57,88,82,8.54,RU,1674545685
70,hervey bay,-25.2986,152.8535,28.9,69,0,4.92,AU,1674545685
71,rosita,13.9268,-84.4032,19.73,99,36,1.28,NI,1674545686
72,atar,20.5169,-13.0499,17.63,18,0,3.02,MR,1674545687
73,hobart,-42.8794,147.3294,23.92,62,40,5.66,AU,1674545687
